location,time_period,disease_cases
Iqy9A4jXY9l,202312,5.0
Iqy9A4jXY9l,202401,5.0
Iqy9A4jXY9l,202402,5.0
Iqy9A4jXY9l,202403,3.0
Iqy9A4jXY9l,202404,1.0
Iqy9A4jXY9l,202405,4.0
Iqy9A4jXY9l,202406,3.0
Iqy9A4jXY9l,202407,19.0
Iqy9A4jXY9l,202408,76.0
Iqy9A4jXY9l,202409,168.0
Iqy9A4jXY9l,202410,107.0
Iqy9A4jXY9l,202411,40.0
Iqy9A4jXY9l,202412,1.0
JBTkOU5m0Bu,202201,1.0
JBTkOU5m0Bu,202202,0.0
JBTkOU5m0Bu,202203,0.0
JBTkOU5m0Bu,202204,0.0
JBTkOU5m0Bu,202205,0.0
JBTkOU5m0Bu,202206,0.0
JBTkOU5m0Bu,202207,0.0
JBTkOU5m0Bu,202208,4.0
JBTkOU5m0Bu,202209,17.0
JBTkOU5m0Bu,202210,7.0
JBTkOU5m0Bu,202211,4.0
JBTkOU5m0Bu,202212,0.0
JBTkOU5m0Bu,202301,0.0
JBTkOU5m0Bu,202302,0.0
JBTkOU5m0Bu,202303,1.0
JBTkOU5m0Bu,202304,0.0
JBTkOU5m0Bu,202305,1.0
JBTkOU5m0Bu,202306,4.0
JBTkOU5m0Bu,202307,3.0
JBTkOU5m0Bu,202308,30.0
JBTkOU5m0Bu,202309,20.0
JBTkOU5m0Bu,202310,13.0
JBTkOU5m0Bu,202311,0.0
JBTkOU5m0Bu,202312,0.0
JBTkOU5m0Bu,202401,0.0
JBTkOU5m0Bu,202402,0.0
JBTkOU5m0Bu,202403,0.0
JBTkOU5m0Bu,202404,1.0
JBTkOU5m0Bu,202405,1.0
JBTkOU5m0Bu,202406,1.0
JBTkOU5m0Bu,202407,1.0
JBTkOU5m0Bu,202408,1.0
JBTkOU5m0Bu,202409,16.0
JBTkOU5m0Bu,202410,7.0
JBTkOU5m0Bu,202411,3.0
JBTkOU5m0Bu,202412,0.0
JH8RPnwv8kB,202201,0.0
JH8RPnwv8kB,202202,0.0
JH8RPnwv8kB,202203,0.0
JH8RPnwv8kB,202204,0.0
JH8RPnwv8kB,202205,0.0
JH8RPnwv8kB,202206,1.0
JH8RPnwv8kB,202207,99.0
JH8RPnwv8kB,202208,1558.0
JH8RPnwv8kB,202209,6016.0
JH8RPnwv8kB,202210,1809.0
JH8RPnwv8kB,202211,120.0
JH8RPnwv8kB,202212,11.0
JH8RPnwv8kB,202301,4.0
JH8RPnwv8kB,202302,3.0
JH8RPnwv8kB,202303,1.0
JH8RPnwv8kB,202304,0.0
JH8RPnwv8kB,202305,2.0
JH8RPnwv8kB,202306,8.0
JH8RPnwv8kB,202307,75.0
JH8RPnwv8kB,202308,136.0
JH8RPnwv8kB,202309,82.0
JH8RPnwv8kB,202310,193.0
JH8RPnwv8kB,202311,31.0
JH8RPnwv8kB,202312,8.0
JH8RPnwv8kB,202401,10.0
