time_period,location,disease_cases
202205,S8J6p6tGXNb,0.0
202205,SJQ2e9HUvaG,0.0
202205,U8Rk7sYzFmK,0.0
202205,VoOb1wMwKp0,1.0
202205,Wep3D4POB3H,0.0
202205,WfE2smSUNDt,2.0
202205,Yacp1fLlWut,0.0
202205,YmFSl06J6cs,0.0
202205,YnUoe8z0OJY,0.0
202205,ZIo35uAAfZo,0.0
202205,ZULmwVN4Zfv,0.0
202205,ZVmULoI6vcV,0.0
202205,bWmwn3sMsG0,0.0
202205,bX87SmYR3TJ,0.0
202205,bjS2Lp3tLxv,1.0
202205,cMWLZfK0O4z,0.0
202205,eW2b8SUYRWt,0.0
202205,ebbAyOhorzo,0.0
202205,elOK8Y2b3Qn,1.0
202205,ewPc6zXy53n,0.0
202205,gannbFbizVo,0.0
202205,grMJpaDdSrD,0.0
202205,hasbXH0dTqM,0.0
202205,i6gMyoP9ReK,0.0
202205,iqLM1XBMxyu,0.0
202205,j0gE31YxwHQ,
202205,j4HVtKmVtwQ,2.0
202205,jJmNryYp6Mc,0.0
202205,kBRVmS9IKRE,2.0
202205,kfrKchZfqGr,0.0
202205,l8tZrJ55yzg,0.0
202205,mMGyx6JG7wj,0.0
202205,q7VB2VrUr83,0.0
202205,qoayxucpZqH,0.0
202205,rsZaqJl5R0A,0.0
202205,t9XsLKdMwA1,2.0
202205,tSE6ctwvZmP,0.0
202205,uHEl9oRZm8L,0.0
202205,uyGkoQ4F9rT,0.0
202205,vjL1uSC10Jh,1.0
202205,wYKHZ0iyjfd,6.0
202205,xGQwwqLQ819,0.0
202205,yP2GELa6inf,0.0
202205,ycBkX3TlIrL,0.0
202205,zkFZKX5RX1A,0.0
202206,A3R7UT64jHf,0.0
202206,A3TeVhjjS2u,0.0
202206,B7X957nA1lM,1.0
202206,BITtrV4c0xf,0.0
202206,BdLcDbLQd88,0.0
202206,BywOwm8jUhf,2.0
202206,CNFRaFUfLjo,1.0
202206,D51gR5DC5vt,0.0
202206,DLyaDAF00hm,0.0
202206,EXKX4gJ9D6Y,1.0
202206,F5xI4hl77mT,7.0
202206,Fh294RrB7an,3.0
202206,GnpIwWbdxdl,1.0
202206,HL5fSUsp2vJ,0.0
202206,HfIRB3HRHvk,0.0
202206,HkwA8YQgJK6,0.0
202206,ICSVN3EZGcy,0.0
202206,IOHIfpVUJGp,0.0
202206,Iqy9A4jXY9l,0.0
202206,JBTkOU5m0Bu,0.0
202206,JH8RPnwv8kB,1.0
202206,LnJ8MTOmgGa,0.0
202206,N7ioObCpMP3,1.0
202206,NSLL7YIXBJH,0.0
202206,O5p5idrXdiw,3.0
202206,P53hVYydxdc,1.0
202206,PUPCyKcUwlS,0.0
202206,PdRpVxkVd9a,0.0
202206,QfZ2pVPRFmz,32.0
202206,QzI3Btz60Ne,0.0
202206,RSAZqrdfXy5,0.0
202206,RZxElQxEbZN,0.0
202206,S8J6p6tGXNb,0.0
202206,SJQ2e9HUvaG,1.0
202206,U8Rk7sYzFmK,0.0
202206,VoOb1wMwKp0,0.0
202206,Wep3D4POB3H,0.0
202206,WfE2smSUNDt,3.0
202206,Yacp1fLlWut,0.0
202206,YmFSl06J6cs,0.0
202206,YnUoe8z0OJY,1.0
202206,ZIo35uAAfZo,2.0
202206,ZULmwVN4Zfv,0.0
202206,ZVmULoI6vcV,0.0
202206,bWmwn3sMsG0,3.0
202206,bX87SmYR3TJ,1.0
202206,bjS2Lp3tLxv,1.0
202206,cMWLZfK0O4z,1.0
202206,eW2b8SUYRWt,0.0
202206,ebbAyOhorzo,1.0
202206,elOK8Y2b3Qn,1.0
202206,ewPc6zXy53n,0.0
202206,gannbFbizVo,0.0
202206,grMJpaDdSrD,0.0
202206,hasbXH0dTqM,2.0
202206,i6gMyoP9ReK,0.0
202206,iqLM1XBMxyu,0.0
202206,j0gE31YxwHQ,
202206,j4HVtKmVtwQ,0.0
202206,jJmNryYp6Mc,0.0
202206,kBRVmS9IKRE,0.0
202206,kfrKchZfqGr,0.0
202206,l8tZrJ55yzg,0.0
202206,mMGyx6JG7wj,1.0
202206,q7VB2VrUr83,0.0
202206,qoayxucpZqH,0.0
202206,rsZaqJl5R0A,0.0
202206,t9XsLKdMwA1,4.0
202206,tSE6ctwvZmP,0.0
202206,uHEl9oRZm8L,11.0
202206,uyGkoQ4F9rT,1.0
202206,vjL1uSC10Jh,0.0
202206,wYKHZ0iyjfd,0.0
202206,xGQwwqLQ819,0.0
202206,yP2GELa6inf,2.0
202206,ycBkX3TlIrL,0.0
202206,zkFZKX5RX1A,0.0
202207,A3R7UT64jHf,2.0
202207,A3TeVhjjS2u,6.0
202207,B7X957nA1lM,3.0
202207,BITtrV4c0xf,1.0
202207,BdLcDbLQd88,0.0
202207,BywOwm8jUhf,0.0
202207,CNFRaFUfLjo,2.0
202207,D51gR5DC5vt,6.0
202207,DLyaDAF00hm,0.0
202207,EXKX4gJ9D6Y,1.0
202207,F5xI4hl77mT,109.0
202207,Fh294RrB7an,1.0
202207,GnpIwWbdxdl,1.0
202207,HL5fSUsp2vJ,1.0
202207,HfIRB3HRHvk,6.0
202207,HkwA8YQgJK6,1.0
202207,ICSVN3EZGcy,3.0
202207,IOHIfpVUJGp,0.0
202207,Iqy9A4jXY9l,1.0
202207,JBTkOU5m0Bu,0.0
202207,JH8RPnwv8kB,99.0
202207,LnJ8MTOmgGa,0.0
202207,N7ioObCpMP3,6.0
202207,NSLL7YIXBJH,3.0
202207,O5p5idrXdiw,2.0
202207,P53hVYydxdc,0.0
202207,PUPCyKcUwlS,0.0
202207,PdRpVxkVd9a,2.0
202207,QfZ2pVPRFmz,24.0
202207,QzI3Btz60Ne,2.0
202207,RSAZqrdfXy5,3.0
202207,RZxElQxEbZN,0.0
202207,S8J6p6tGXNb,0.0
202207,SJQ2e9HUvaG,0.0
202207,U8Rk7sYzFmK,0.0
202207,VoOb1wMwKp0,1.0
202207,Wep3D4POB3H,0.0
202207,WfE2smSUNDt,17.0
202207,Yacp1fLlWut,0.0
202207,YmFSl06J6cs,0.0
202207,YnUoe8z0OJY,2.0
202207,ZIo35uAAfZo,8.0
202207,ZULmwVN4Zfv,0.0
202207,ZVmULoI6vcV,5.0
202207,bWmwn3sMsG0,12.0
202207,bX87SmYR3TJ,0.0
202207,bjS2Lp3tLxv,5.0
202207,cMWLZfK0O4z,13.0
202207,eW2b8SUYRWt,0.0
202207,ebbAyOhorzo,16.0
202207,elOK8Y2b3Qn,35.0
202207,ewPc6zXy53n,0.0
202207,gannbFbizVo,4.0
202207,grMJpaDdSrD,0.0
202207,hasbXH0dTqM,7.0
202207,i6gMyoP9ReK,2.0
202207,iqLM1XBMxyu,3.0
202207,j0gE31YxwHQ,
202207,j4HVtKmVtwQ,0.0
202207,jJmNryYp6Mc,0.0
202207,kBRVmS9IKRE,0.0
202207,kfrKchZfqGr,2.0
202207,l8tZrJ55yzg,2.0
202207,mMGyx6JG7wj,27.0
202207,q7VB2VrUr83,1.0
202207,qoayxucpZqH,0.0
202207,rsZaqJl5R0A,221.0
202207,t9XsLKdMwA1,3.0
202207,tSE6ctwvZmP,0.0
202207,uHEl9oRZm8L,30.0
202207,uyGkoQ4F9rT,1.0
202207,vjL1uSC10Jh,1.0
202207,wYKHZ0iyjfd,4.0
