time_period,location,disease_cases
2022-05,ycBkX3TlIrL,0
2022-05,zkFZKX5RX1A,0
2022-06,A3R7UT64jHf,0
2022-06,A3TeVhjjS2u,0
2022-06,B7X957nA1lM,1
2022-06,BITtrV4c0xf,0
2022-06,BdLcDbLQd88,0
2022-06,BywOwm8jUhf,2
2022-06,CNFRaFUfLjo,1
2022-06,D51gR5DC5vt,0
2022-06,DLyaDAF00hm,0
2022-06,EXKX4gJ9D6Y,1
2022-06,F5xI4hl77mT,7
2022-06,Fh294RrB7an,3
2022-06,GnpIwWbdxdl,1
2022-06,HL5fSUsp2vJ,0
2022-06,HfIRB3HRHvk,0
2022-06,HkwA8YQgJK6,0
2022-06,ICSVN3EZGcy,0
2022-06,IOHIfpVUJGp,0
2022-06,Iqy9A4jXY9l,0
2022-06,JBTkOU5m0Bu,0
2022-06,JH8RPnwv8kB,1
2022-06,LnJ8MTOmgGa,0
2022-06,N7ioObCpMP3,1
2022-06,NSLL7YIXBJH,0
2022-06,O5p5idrXdiw,3
2022-06,P53hVYydxdc,1
2022-06,PUPCyKcUwlS,0
2022-06,PdRpVxkVd9a,0
2022-06,QfZ2pVPRFmz,32
2022-06,QzI3Btz60Ne,0
2022-06,RSAZqrdfXy5,0
2022-06,RZxElQxEbZN,0
2022-06,S8J6p6tGXNb,0
2022-06,SJQ2e9HUvaG,1
2022-06,U8Rk7sYzFmK,0
2022-06,VoOb1wMwKp0,0
2022-06,Wep3D4POB3H,0
2022-06,WfE2smSUNDt,3
2022-06,Yacp1fLlWut,0
2022-06,YmFSl06J6cs,0
2022-06,YnUoe8z0OJY,1
2022-06,ZIo35uAAfZo,2
2022-06,ZULmwVN4Zfv,0
2022-06,ZVmULoI6vcV,0
2022-06,bWmwn3sMsG0,3
2022-06,bX87SmYR3TJ,1
2022-06,bjS2Lp3tLxv,1
2022-06,cMWLZfK0O4z,1
2022-06,eW2b8SUYRWt,0
2022-06,ebbAyOhorzo,1
2022-06,elOK8Y2b3Qn,1
2022-06,ewPc6zXy53n,0
2022-06,gannbFbizVo,0
2022-06,grMJpaDdSrD,0
2022-06,hasbXH0dTqM,2
2022-06,i6gMyoP9ReK,0
2022-06,iqLM1XBMxyu,0
2022-06,j0gE31YxwHQ,0
2022-06,j4HVtKmVtwQ,0
2022-06,jJmNryYp6Mc,0
2022-06,kBRVmS9IKRE,0
2022-06,kfrKchZfqGr,0
2022-06,l8tZrJ55yzg,0
2022-06,mMGyx6JG7wj,1
2022-06,q7VB2VrUr83,0
2022-06,qoayxucpZqH,0
2022-06,rsZaqJl5R0A,0
2022-06,t9XsLKdMwA1,4
2022-06,tSE6ctwvZmP,0
2022-06,uHEl9oRZm8L,11
2022-06,uyGkoQ4F9rT,1
2022-06,vjL1uSC10Jh,0
2022-06,wYKHZ0iyjfd,0
2022-06,xGQwwqLQ819,0
2022-06,yP2GELa6inf,2
2022-06,ycBkX3TlIrL,0
2022-06,zkFZKX5RX1A,0
2022-07,A3R7UT64jHf,2
2022-07,A3TeVhjjS2u,6
2022-07,B7X957nA1lM,3
